"estimativa","ic_normal_cobre","amplitude_ic_normal","ic_boot_cobre","amplitude_ic_boot"
0.258330878130702,1,0.367566721310065,1,0.454633835016616
0.0216221236009885,1,0.392659660377251,1,0.417626782864463
0.189800962349898,1,0.37921158108256,1,0.403501895631731
0.330319214949276,1,0.351453008125549,1,0.409235058280099
0.408094227813424,0,0.329530220273022,0,0.352274279512054
0.199168580347297,1,0.377831391984826,1,0.40114974496216
0.133518741589596,1,0.386098593548656,1,0.438887131187936
0.1517656716428,1,0.384129449899749,1,0.378811498767529
0.234634423253884,1,0.371999411563037,1,0.400862531076606
0.189684483001198,1,0.379228321874523,1,0.354352332948127
0.286213310689904,1,0.361799285655018,1,0.360154653382054
0.266198535972681,1,0.365999795324997,1,0.396955077874568
0.136130491692009,1,0.385832236081001,1,0.474823196285271
0.308473422060188,1,0.356765296896862,1,0.406993404069177
0.100263264836482,1,0.389038044281887,1,0.442602521831333
0.249788349576504,1,0.369214287992264,1,0.393167983626183
0.253046977077691,1,0.368592408773577,1,0.342436981334308
0.49942355251654,0,0.297718377668511,0,0.331539985920421
0.219848805933194,1,0.374547508680254,1,0.373296538865304
0.239593079135124,1,0.371107418119524,1,0.424726671398557
0.0487157832041132,1,0.391939831331253,1,0.380060080164676
0.125665218885354,1,0.386868363150939,1,0.356678544538364
0.153328080194676,1,0.383949093004216,1,0.452165225995297
0.198214887900693,1,0.377974962990786,1,0.413760566782103
0.279315454248667,1,0.363281726547308,1,0.450548657621705
0.346488199140172,1,0.347283155396345,1,0.397955269973142
0.256557018064332,1,0.367913442623295,1,0.367090623444527
0.208634531525696,1,0.376368761763776,1,0.431364028867375
0.293179831215023,1,0.360264911698408,1,0.405284719282227
0.206289940327713,1,0.37673740339816,1,0.398517406699066
0.195607762560977,1,0.378363907475417,1,0.368597576364784
0.218527807997242,1,0.374767034512651,1,0.380042640698766
0.334101474119711,1,0.350495758025633,1,0.409152467108665
0.0936089193333783,1,0.389525641049924,1,0.408969318588105
0.333507244380296,1,0.350646885345836,1,0.390847088789203
0.154479482493284,1,0.383814994125636,1,0.369458835832001
0.283363671605785,1,0.362416149201681,1,0.356201354042675
